"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"WK02"	"WK02_01"	"SD01_01"	"SD02_01"	"SD03"	"EX01"	"EX01_07"	"EX02"	"EX02_07"	"EX03"	"EX03_07"	"EX04"	"EX04_07"	"EX05"	"EX05_07"	"EX06"	"EX06_07"	"EX07"	"EX07_07"	"EX08"	"EX08_07"	"EX09"	"EX09_07"	"EX10"	"EX10_07"	"EX11"	"EX11_07"	"EX12"	"EX12_07"	"EX13"	"EX13_07"	"EX14"	"EX14_07"	"EX15"	"EX15_07"	"EX16"	"EX16_07"	"EX17"	"EX17_07"	"EX18"	"EX18_07"	"EX19"	"EX20"	"EX20_07"	"EX21"	"EX21_07"	"EX22"	"EX22_07"	"EX23"	"EX23_07"	"EX24"	"EX25"	"EX26"	"EX26_07"	"EX27"	"EX27_07"	"EX28"	"EX28_07"	"EX29"	"EX29_07"	"EX30"	"EX30_07"	"EX31"	"EX31_07"	"EX32"	"EX32_07"	"EX33"	"EX33_07"	"EX34"	"EX34_07"	"EX35"	"EX35_07"	"EX36"	"EX36_07"	"EX37"	"EX37_07"	"EX38"	"EX38_07"	"EX39"	"EX39_07"	"EX40"	"EX40_07"	"EX41"	"EX41_07"	"EX42"	"EX42_07"	"EX43"	"EX43_07"	"EX44"	"EX44_07"	"EX45"	"EX45_07"	"EX46"	"EX46_07"	"EX47"	"EX47_07"	"EX48"	"EX48_07"	"EX49"	"EX49_07"	"EX50"	"EX50_07"	"EX51"	"EX51_07"	"EX52"	"EX53"	"EX53_07"	"EX54"	"EX54_07"	"EX55"	"EX55_07"	"EX56"	"EX56_07"	"EX57"	"EX57_07"	"EX58"	"EX58_07"	"EX59"	"EX59_07"	"EX60"	"EX60_07"	"EX61"	"EX61_07"	"EX62"	"EX63"	"EX63_07"	"EX64"	"EX65"	"EX65_07"	"EX66"	"EX67"	"EX67_07"	"EX68"	"EX68_07"	"EX69"	"EX69_07"	"EX70"	"KO01"	"KO01_07"	"KO02"	"KO02_07"	"KO03"	"KO03_07"	"KO04"	"KO04_07"	"KO05"	"KO05_07"	"KO06"	"KO06_07"	"KO07"	"KO07_07"	"KO08"	"KO09"	"KO10"	"KO10_07"	"KO11"	"KO12"	"KO13"	"KO13_07"	"KO14"	"KO14_07"	"KO15"	"ZF01_CP"	"ZF01x01"	"ZF01x02"	"ZF01x03"	"ZF01x04"	"ZF01x05"	"ZF01x06"	"ZF01x07"	"ZF01x08"	"ZF01x09"	"ZF01x10"	"ZF01x11"	"ZF01x12"	"ZF01x13"	"ZF01x14"	"ZF01x15"	"ZF01x16"	"ZF01x17"	"ZF01x18"	"ZF01x19"	"ZF01x20"	"ZF01x21"	"ZF01x22"	"ZF01x23"	"ZF01x24"	"ZF01x25"	"ZF01x26"	"ZF01x27"	"ZF01x28"	"ZF01x29"	"ZF01x30"	"ZF01x31"	"ZF01x32"	"ZF01x33"	"ZF01x34"	"ZF01x35"	"ZF01x36"	"ZF01x37"	"ZF01x38"	"ZF01x39"	"ZF01x40"	"ZF01x41"	"ZF01x42"	"ZF01x43"	"ZF01x44"	"ZF01x45"	"ZF01x46"	"ZF01x47"	"ZF01x48"	"ZF01x49"	"ZF01x50"	"ZF01x51"	"ZF01x52"	"ZF01x53"	"ZF01x54"	"ZF01x55"	"ZF01x56"	"ZF01x57"	"ZF01x58"	"ZF01x59"	"ZF01x60"	"ZF01x61"	"ZF01x62"	"ZF01x63"	"ZF01x64"	"ZF01x65"	"ZF01x66"	"ZF01x67"	"ZF01x68"	"ZF01x69"	"ZF01x70"	"ZF01x71"	"ZF01x72"	"ZF01x73"	"ZF01x74"	"ZF01x75"	"ZF01x76"	"ZF01x77"	"ZF01x78"	"ZF01x79"	"ZF01x80"	"ZF01x81"	"ZF01x82"	"ZF01x83"	"ZF01x84"	"ZF01x85"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
76			"base"	"interview"	2021-02-23 12:17:44	1	T	"24"	"Deutsch"	2	1		5		6		5		4		2		3		2		3		4		1		1		2		6		3		3		6		3		6	1		1		3		5		1	1	6		1		5		6		6		5		6		2		4		5		5		1		1		6		6		1		3		3		2		5		3		2		2		5		1		1		6	2		1		4		6		1		5		3		3		3		3	5		6	1		2	5		2		3		4	1		4		6		4		1		3		4		4	1	4		4	4	2		2		6	119	5	60	59	85	46	55	43	61	20	26	37	83	3	1	72	36	53	64	24	7	82	41	77	21	54	38	13	71	11	8	47	63	56	33	12	17	70	76	30	67	73	75	35	50	40	32	80	18	29	23	14	69	39	34	52	16	4	6	27	44	48	78	15	68	42	10	9	74	58	66	31	57	28	81	2	84	62	65	45	49	79	22	19	25	51	3761	13	2	1	1	1	2	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	2	1	1	2	0	1	1	1	1	0	1	1	1	0	0	4	3	0	1	2	1	1	1	1	1	1	2	1	0	1	1	2	1	1	2	1	0	1	3	1	2	1	1	0	0	1	1	0	4	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	3	111		2021-02-23 13:22:05	T	F	88	88	0	0	2.75	221
77			"base"	"interview"	2021-02-23 12:18:15	1	T	"58"	"deutsch"	2	4		4		4		4		1		4		7	"einen geruch"	4		4		4		1		7	"schmerz"	4		4		3		4		4		4		2	2		4		1		1		1	1	1		4		1		4		2		1		1		4		4		3		1		3		4		3		2		4		4		1		4		3		3		4		2		1		4		1		1	1		1		1		1		1		2		1		1		1		1	2		2	2		1	1		4		4		1	3		3		7	"einen geruch"	2		1		1		4		4	3	7	"einen geschmack"	5	4	2		7	"einen geschmack"	3	34	3	24	47	60	74	67	42	46	71	27	40	76	50	25	10	34	7	23	11	22	78	61	54	13	63	17	15	41	70	55	28	62	79	39	6	84	81	49	66	16	48	29	35	26	72	44	12	9	58	4	85	83	36	2	64	68	56	57	32	51	37	43	45	8	82	69	21	33	18	1	5	14	52	75	73	20	38	19	53	59	77	65	31	30	80	10	12	4	2	11	3	3	5	13	5	3	3	5	11	4	3	4	3	3	8	3	4	4	2	2	5	3	2	15	3	2	2	6	3	2	7	4	5	8	3	7	6	5	5	4	5	8	7	13	3	2	4	3	3	3	2	3	13	2	4	2	4	3	2	4	3	3	3	4	3	3	2	4	5	17	3	3	3	3	3	3	14	4	3	2	16	2	3	400		2021-02-23 12:25:21	T	F	88	88	0	0	1.21	16
78			"base"	"interview"	2021-02-23 12:18:20	1	T	"51"	"deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		4		4		4		2		4		2		4		6	2		4		1		1		1	1	1		4		2		4		2		1		1		6		6		4		1		3		2		4		2		1		1		1		4		4		4		2		1		1		4		1		2	1		1		1		1		1		2		1		1		1		1	2		1	1		1	1		4		1		1	5		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	36	38	23	55	77	14	6	47	50	30	35	26	70	29	79	68	16	33	82	51	66	42	20	56	76	3	21	22	81	80	64	53	13	52	57	10	5	41	31	74	44	19	65	8	1	4	48	67	2	7	85	12	62	84	32	69	61	54	43	11	15	63	34	40	60	75	39	28	36	37	71	17	9	83	27	58	45	46	49	78	59	24	18	73	72	25	15	10	5	3	7	8	3	7	4	5	6	4	3	10	7	6	14	5	6	4	6	4	8	5	5	4	4	7	7	7	35	10	4	6	5	6	9	12	5	14	2	5	6	10	9	7	17	9	9	9	5	6	6	7	5	7	4	4	3	5	4	4	5	5	7	6	3	3	4	7	7	6	5	4	17	3	3	4	6	5	4	17	4	4	2	11	6	3	542		2021-02-23 12:28:10	T	F	88	88	0	0	0.8	2
79			"base"	"interview"	2021-02-23 12:18:27	1	T	"34"	"Deutsch"	2	1		1		1		4		1		1		1		4		7	"Überraschend"	4		1		4		4		4		1		4		4		4		5	2		3		1		1		1	1	4		1		2		4		2		2		1		3		4		4		1		4		2		4		2		1		7	"Nachfragen"	1		6		1		4		2		1		1		4		1		2	4		1		1		1		6		2		1		1		1		1	2		1	2		1	1		1		1		1	6		3		4		2		1		1		5		4	6	7	"Geschmack"	5	4	2		7	"Geschmack"	3	39	14	9	42	33	10	83	49	30	51	66	13	34	58	76	63	64	44	25	41	84	38	39	80	81	31	2	11	60	6	7	18	17	15	40	67	72	59	50	79	21	5	27	35	71	43	47	55	32	61	73	75	69	26	53	77	78	68	70	12	65	22	19	24	48	85	29	46	45	37	8	74	3	82	57	54	20	1	16	23	56	52	62	36	4	28	29	15	3	5	2	4	4	8	5	4	47	9	4	8	9	19	5	6	8	4	3	4	6	4	3	2	3	4	4	3	3	3	4	5	7	4	4	3	4	9	5	5	5	26	3	13	9	4	2	2	3	5	2	4	3	14	4	3	3	3	6	5	2	2	3	5	5	5	4	2	3	4	3	2	3	4	2	5	6	3	9	10	6	6	5	32	5	4	437		2021-02-23 12:27:37	T	F	88	88	0	0	1.06	12
80			"base"	"interview"	2021-02-23 12:18:29	1	T	"37"	"Deutsch"	2	4		1		1		4		1		4		4		4		4		4		1		1		4		4		7	"Eine Geste (Winkend zum Gruss)"	4		2		4		2	2		4		1		1		1	1	1		4		1		4		2		1		1		3		4		6		1		3		2		4		2		4		1		4		6		4		4		2		1		1		4		1		5	1		1		1		1		1		2		2		3		1		1	2		1	1		1	1		1		2		1	6		3		4		2		1		4		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	3	35	63	48	50	69	54	32	55	15	38	19	25	77	53	66	30	45	17	72	6	58	67	52	40	12	76	3	73	26	39	22	79	5	24	29	61	49	42	75	2	10	83	35	60	7	37	59	80	68	64	20	27	65	78	46	41	16	8	62	51	84	23	31	57	70	44	28	18	36	71	9	1	33	13	56	47	82	43	85	74	14	34	11	81	21	4	3	9	2	1	5	3	3	5	5	3	2	4	3	3	3	2	45	4	4	2	2	1	2	3	5	8	2	4	3	5	7	10	2	7	6	3	5	5	5	8	3	7	3	3	3	6	6	7	4	15	3	17	5	4	2	5	4	2	2	9	5	3	5	2	3	3	7	3	4	4	14	2	2	3	6	2	4	8	5	3	5	10	2	2	2	10	3	2	377		2021-02-23 12:25:48	T	F	88	88	0	0	1.23	19
81			"base"	"interview"	2021-02-23 12:18:34	1	T	"42"	"Deitsch"	1	1		4		4		4		1		4		1		1		4		4		1		1		4		4		1		4		1		4		2	2		4		3		1		1	4	1		4		2		4		2		2		1		3		2		5		1		3		2		4		2		1		1		2		2		4		4		2		1		1		2		2		2	1		1		1		1		1		2		1		1		1		1	2		1	1		1	1		1		2		1	3		3		7	"Olfakt."	2		1		1		5		4	3	7	"Gust."	5	4	2		7	"Gust."	3	37	24	37	69	25	78	71	4	63	60	21	77	54	83	51	17	59	49	64	82	75	14	30	81	41	68	38	7	65	61	72	1	28	15	32	35	44	26	36	47	27	85	62	40	48	9	57	58	52	73	76	2	13	45	67	11	31	55	42	53	39	22	5	12	16	10	33	79	19	80	74	34	66	46	20	8	56	29	6	70	23	18	50	3	43	84	15	10	11	5	7	6	2	3	7	5	3	2	3	5	6	6	4	6	7	4	4	4	6	4	3	14	8	3	4	5	5	5	3	4	9	6	5	6	19	2	6	5	6	9	3	6	6	3	4	3	4	9	8	2	6	6	2	3	4	5	4	3	4	2	5	4	3	3	4	5	35	2	3	4	22	4	3	4	7	9	5	40	4	3	3	9	8	4	441		2021-02-23 12:27:37	T	F	88	88	0	0	0.97	7
82			"base"	"interview"	2021-02-23 12:18:41	1	T	"39"	"deutsch"	1	1		1		1		4		1		4		1		4		4		1		1		4		4		4		1		4		1		4		5	1		1		1		1		1	1	1		4		1		4		2		1		1		3		6		3		1		3		2		4		4		1		4		4		4		3		2		1		6		1		1		1		2	1		1		1		1		1		1		1		1		1		1	3		1	2		1	1		4		1		1	3		3		7	"riechen"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		4		3	38	71	29	9	17	18	44	59	2	66	21	45	84	53	56	76	40	10	79	65	62	58	13	77	43	1	85	54	55	46	25	26	60	83	20	73	16	37	22	36	52	30	51	3	39	19	47	80	81	7	4	35	74	31	23	61	63	75	41	32	42	82	28	48	15	50	49	67	14	57	27	34	64	38	24	78	6	68	5	12	72	70	11	33	8	69	9	12	4	6	4	3	5	6	5	2	4	3	2	3	5	4	2	6	10	6	3	8	6	2	3	3	2	2	5	3	11	3	5	3	6	3	8	4	5	6	6	9	3	5	4	3	6	4	15	5	8	6	4	4	4	3	4	4	3	2	6	2	2	2	3	8	4	4	3	5	3	4	10	5	14	3	5	4	8	4	5	13	13	3	4	9	4	3	426		2021-02-23 12:26:10	T	F	88	88	0	0	1.07	10
83			"base"	"interview"	2021-02-23 12:18:42	1	T	"50"	"deutsch "	2	1		4		4		4		1		4		4		7	"Ausruf"	1		4		2		4		4		4		2		7	"Geschmack "	4		4		3	2		7	"Ausruf "	1		1		1	1	4		4		1		2		2		2		1		6		4		6		1		4		2		4		2		2		7	"Ausruf und Erstaunen"	2		6		4		4		2		1		1		4		2		6	1		1		1		1		1		2		1		1		1		1	4		1	1		2	1		2		7	"Erstaunen"	1	6		7	"Farbe"	7	"Geruch"	1		1		1		4		4	5	4		5	4	2		1		3	40	22	28	24	59	56	3	80	1	65	9	50	79	36	13	63	19	7	67	14	48	60	78	73	51	72	29	43	62	21	64	57	47	34	33	10	49	23	77	17	42	39	70	35	52	12	26	81	74	8	31	41	4	54	40	61	82	37	15	83	38	16	68	18	58	66	69	45	5	46	2	44	84	25	71	75	55	30	85	27	6	53	76	32	20	11	21	17	3	10	5	2	3	4	5	13	8	5	6	3	3	14	4	10	3	6	3	3	12	5	3	4	2	2	7	4	10	2	4	3	5	5	8	3	5	6	3	4	4	18	3	6	4	3	3	9	6	3	5	6	2	6	3	9	3	6	6	4	4	2	4	90	7	2	3	3	11	2	5	7	11	10	3	2	4	3	5	8	3	4	4	21	53	2	464		2021-02-23 12:29:12	T	F	88	88	0	0	1.01	10
85			"base"	"interview"	2021-02-23 12:19:03	1	T	"42"	"deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		4		4		4		1		4		2		4		2	2		4		1		1		1	1	1		4		1		4		2		2		1		5		2		7	"keine"	4		4		2		4		2		2		4		4		2		4		4		2		1		1		4		2		2	1		2		1		1		1		2		1		1		1		1	4		1	1		2	1		4		2		1	6		3		7	"geruch"	2		1		1		6		4	3	7	"geschmack"	5	4	2		7	"geschmack"	3	41	85	5	77	50	66	46	27	79	63	56	55	78	44	2	19	57	80	10	60	40	23	8	26	29	6	81	58	47	70	13	35	15	59	32	62	48	12	68	65	16	4	84	52	38	73	54	7	3	34	49	74	30	83	67	82	31	9	36	11	64	61	41	17	1	18	53	76	25	37	39	45	75	24	71	51	22	20	69	43	42	33	28	21	14	72	4	8	5	5	1	2	6	3	6	3	2	3	2	3	3	3	4	3	3	3	3	2	2	3	3	2	2	3	3	2	5	2	5	7	7	3	13	3	4	3	2	3	3	3	5	3	4	3	4	6	3	3	4	3	2	3	4	2	3	3	3	2	3	1	4	2	4	3	3	3	4	2	3	3	7	4	2	2	5	3	2	11	4	2	2	6	4	3	312		2021-02-23 12:24:15	T	F	88	88	0	0	1.43	23
86			"base"	"interview"	2021-02-23 12:19:13	1	T	"54"	"Deutsch"	2	4		4		1		4		1		4		4		4		4		4		1		7	"Schmerz"	4		4		1		4		4		4		5	2		7	"Ekel"	3		1		1	1	1		4		2		4		2		1		1		3		4		4		2		4		2		4		2		1		4		1		4		4		4		4		1		1		4		1		2	1		1		1		1		1		2		1		1		1		1	2		1	1		2	1		4		2		1	6		3		4		2		1		1		5		4	3	7	"Geschmack"	5	4	1		4		3	42	38	77	7	79	46	48	29	31	44	15	34	61	73	64	35	54	68	70	83	26	82	78	42	37	21	49	75	53	72	27	24	40	5	85	8	9	74	2	10	18	57	11	58	22	84	43	65	59	32	67	81	47	3	23	6	4	17	51	56	39	19	36	13	71	20	66	1	45	16	14	25	80	52	30	33	76	50	69	12	28	60	62	41	63	55	8	17	5	7	4	3	3	4	12	4	2	3	3	10	4	6	4	2	3	11	6	4	10	6	2	4	3	3	3	9	25	3	3	3	16	4	7	5	9	17	4	4	2	4	3	6	4	20	33	4	3	3	4	41	2	3	2	2	3	6	3	3	4	6	5	2	5	5	3	4	3	2	5	4	7	2	3	3	13	5	8	15	4	2	4	9	3	3	417		2021-02-23 12:28:19	T	F	88	88	0	0	1.07	11
88			"base"	"interview"	2021-02-23 12:19:16	1	T	"49"	"Deutsch"	2	4		4		4		4		1		4		4		7	"Skepsis"	4		2		1		4		4		4		4		4		4		4		2	2		4		1		2		1	1	1		4		2		4		2		2		1		3		4		3		4		4		2		4		2		4		7	"Eine Frage"	4		4		4		4		4		1		1		3		1		2	1		1		1		1		1		2		2		1		1		1	2		1	1		2	1		4		4		1	3		3		4		2		1		1		5		4	3	4		5	4	2		4		3	44	58	10	67	6	42	7	43	35	83	5	13	44	3	12	65	77	8	38	4	69	25	51	55	54	53	79	75	60	48	1	24	39	26	49	21	23	78	40	37	57	19	9	80	18	16	74	14	30	36	68	81	2	52	33	46	76	29	50	31	62	17	28	59	64	27	84	20	15	85	41	34	11	72	71	32	45	82	73	70	47	22	66	63	61	56	14	9	5	4	2	2	2	10	5	8	2	3	3	3	4	4	3	3	3	3	2	3	3	2	3	4	2	2	5	2	3	3	3	13	3	3	6	6	2	7	2	6	3	35	15	4	3	2	7	8	4	5	5	3	3	3	2	2	2	5	5	2	2	2	3	2	4	5	6	3	3	2	3	3	3	3	3	2	12	2	2	4	2	2	3	3	3	2	330		2021-02-23 12:25:36	T	F	88	88	0	0	1.39	23
90			"base"	"interview"	2021-02-23 12:19:23	1	T	"49"	"Deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		4		4		4		1		4		2		4		2	2		4		1		1		1	1	1		4		2		4		2		1		1		3		4		5		1		4		2		4		2		4		4		1		4		4		4		2		1		1		4		4		5	1		1		1		1		1		1		1		1		1		1	2		1	2		2	1		4		4		1	6		3		7	"Geruch"	2		1		1		5		4	6	7	"Geschmack"	5	4	2		7	"Geschmack"	3	43	16	66	60	77	38	45	75	44	4	58	78	27	56	11	21	79	17	47	80	8	51	29	74	28	39	67	19	61	34	22	32	84	73	59	12	42	52	68	85	70	10	50	15	55	30	36	35	6	3	20	14	26	48	46	72	24	7	54	76	37	53	64	25	18	57	65	31	2	62	49	82	1	33	83	5	9	40	23	41	13	69	81	43	63	71	5	12	3	5	4	3	4	5	3	6	4	3	2	6	4	4	7	9	5	3	6	5	5	5	4	2	4	3	9	4	7	4	4	3	9	4	4	3	4	3	3	5	5	5	6	5	7	3	5	5	2	3	3	6	4	3	3	4	3	8	3	5	3	3	8	2	4	4	2	5	3	3	4	4	17	3	3	4	9	4	4	30	4	6	4	11	3	3	435		2021-02-23 12:26:39	T	F	88	88	0	0	1.06	8
91			"base"	"interview"	2021-02-23 12:19:29	1	T	"32"	"Deutsch"	1	1		1		1		4		1		4		1		4		4		1		1		1		4		4		1		4		4		3		2	2		3		1		1		1	1	2		1		2		1		2		1		1		3		3		3		4		6		2		4		2		3		1		4		1		1		4		2		2		1		3		3		1	1		1		1		6		1		2		6		1		1		1	2		1	2		1	1		1		2		1	3		3		7	"Geruch "	2		1		1		5		4	3	7	"Geschmack "	5	4	2		7	"Geschmack "	3	45	47	1	82	18	75	68	15	74	78	20	63	67	83	69	43	85	31	45	38	9	14	70	66	22	71	81	42	7	44	25	16	2	21	39	55	61	11	48	19	33	23	35	57	51	73	65	72	6	50	80	40	17	8	76	10	52	79	62	34	84	59	56	32	60	36	58	30	29	53	49	37	77	28	13	64	41	54	12	3	46	5	24	4	26	27	6	6	3	4	3	2	3	5	3	3	2	2	3	1	3	2	4	6	3	5	6	4	2	2	3	2	4	3	4	3	2	2	4	3	3	1	3	3	3	3	4	3	4	2	3	3	4	2	16	10	3	8	3	3	2	2	2	2	5	3	3	3	1	2	4	4	3	2	2	4	3	3	7	3	10	3	4	2	3	4	2	6	4	4	2	7	2	2	300		2021-02-23 12:24:43	T	F	88	88	0	0	1.49	28
92			"base"	"interview"	2021-02-23 12:19:40	1	T	"26"	"Deutsch"	2	1																										4		1																															5																		4		7	"Unwissenheit "							4																							2						1		1			1																			1										5						3	46	32	81	1	15	41	42	14	62	61	85	64	58	46	75	68	54	51	69	27	56	35	39	48	2	83	82	72	25	38	79	59	23	49	26	11	17	74	30	28	10	31	63	55	66	34	52	78	13	40	77	84	76	80	29	8	19	47	65	36	18	12	37	20	43	24	22	21	60	16	53	70	6	7	33	3	71	73	9	5	45	57	44	50	4	67	4	11	9													7	4																	16									7	14				3												12			4	3		2											3						9				5		92		2021-02-23 12:21:33	F	F	77	87	0	0	0.93	9
93			"base"	"interview"	2021-02-23 12:19:53	1	T	"36"	"Deutsch"	1	1		4		4		4		1		4		4		4		4		4		3		4		1		4		3		3		2		4		2	3		6		5		1		3	1	2		3		3		1		2		4		2		5		2		3		4		5		2		4		1		2		1		3		5		1		4		2		2		4		4		1		5	5		3		1		1		1		3		5		3		1		1	2		1	6		2	1		2		1		1	6		3		6		2		1		1		5		4	6	7	"Geschmack"	5	4	2		7	"Geschmack"	3	47	8	72	69	67	82	14	9	45	47	75	30	77	19	16	46	54	6	60	70	78	15	61	53	52	44	62	25	42	18	50	11	43	41	38	2	20	33	49	58	48	7	35	28	71	80	5	17	66	37	68	22	73	51	21	27	39	84	65	24	55	31	40	85	12	32	36	83	76	74	29	57	1	10	59	63	13	79	81	23	56	3	64	34	26	4	4	8	2	3	2	3	4	5	73	15	7	2	4	2	3	3	4	8	4	3	3	13	2	4	3	2	3	26	2	2	2	5	2	1	6	2	2	2	2	4	3	1	72	4	7	4	5	5	3	3	3	5	16	2	5	35	2	3	43	3	3	5	3	5	2	2	1	2	3	2	3	3	3	3	2	3	2	4	4	33	2	11	3	3	3	7	2	3	314		2021-02-23 12:29:46	T	F	88	88	0	0	1.41	30
94			"base"	"interview"	2021-02-23 12:19:54	1	T	"39"	"Deutsch"	2	4		4		4		4		1		4		4		4		4		4		1		4		1		4		1		4		2		4		2	2		3		1		2		2	1	1		2		2		4		2		2		1		4		2		4		1		6		2		4		2		2		4		1		6		7	"Charakter eigenschaft"	4		2		2		1		2		1		2	1		1		1		1		1		2		2		1		1		1	2		1	1		2	1		3		4		1	6		3		7	"Geruch"	2		1		1		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	3	56	5	74	38	77	63	35	24	66	23	12	18	48	47	16	6	80	70	84	30	44	45	53	10	41	15	8	62	64	65	22	55	67	73	79	33	7	32	9	2	83	54	75	49	13	82	25	29	50	85	20	78	19	58	36	46	11	37	27	69	21	17	40	42	76	61	72	1	52	28	3	51	4	26	14	71	39	59	31	81	43	34	68	57	60	56	75	8	8	9	23	6	17	16	6	9	8	7	4	8	4	7	8	5	7	10	8	4	4	4	11	12	20	4	5	4	11	6	11	4	11	7	10	5	8	6	11	4	5	18	6	9	58	18	6	33	5	8	7	8	6	9	3	2	112	7	15	2	3	2	17	3	4	7	3	7	3	7	5	6	14	22	3	5	10	3	4	16	6	3	5	11	6	4	537		2021-02-23 12:35:27	T	F	88	88	0	0	0.71	3
95			"base"	"interview"	2021-02-23 12:19:55	1	T	"35"	"Deutsch"	1	4		4		4		4		1		4		2		4		4		4		4		4		4		4		2		4		4		4		5	2		4		1		1		1	1	4		4		2		1		2		1		1		3		3		3		2		3		2		4		2		1		4		1		3		3		4		2		7	"kenne ich nicht"	1		3		1		2	1		1		1		2		1		1		4		1		1		1	2		1	2		2	1		4		4		1	5		3		4		2		1		1		5		4	3	4		5	4	2		3		3	48	40	46	82	34	1	59	77	66	13	5	65	25	84	14	54	17	4	10	62	37	31	55	72	9	76	41	51	81	74	39	35	8	45	85	42	2	78	47	73	22	26	75	70	19	36	61	50	3	38	29	6	33	52	18	69	83	58	30	48	49	60	21	16	53	15	7	20	56	71	23	57	44	32	43	67	64	79	63	27	24	68	28	12	11	80	8	9	4	2	2	3	5	3	4	2	3	2	2	2	3	3	3	3	2	2	3	2	2	3	2	2	4	2	4	2	2	2	3	3	2	6	8	4	4	4	3	5	3	3	2	2	6	5	3	9	2	2	3	2	3	2	1	2	1	4	5	2	4	3	6	2	4	4	2	4	4	2	3	3	4	2	2	3	4	4	3	4	3	3	2	5	2	1	284		2021-02-23 12:24:39	T	F	88	88	0	0	1.58	31
96			"base"	"interview"	2021-02-23 12:20:13	1	T	"28"	"Deutsch"	2	4		4		1		1		1		1		1		1		1		1		5		1		1		1		1		1		1		4		3	1		4		1		1		1	1	4		4		1		4		2		2		2		6		2		5		3		6		2		4		2		2		4		2		4		2		2		2		5		3		4		4		4	1		1		1		1		4		1		5		1		1		1	1		1	2		5	1		1		4		1	6		3		4		2		1		1		6		4	5	4		5	4	4		4		3	49	56	36	42	41	78	44	70	81	80	57	7	13	20	23	1	3	75	28	45	54	85	76	12	60	53	68	10	29	71	5	2	48	15	21	6	55	74	24	14	63	84	62	58	82	51	16	40	18	34	38	49	39	43	79	47	27	61	69	9	11	4	26	8	72	64	66	52	30	17	19	22	25	32	65	67	35	73	33	59	31	46	83	37	77	50	21	13	4	19	5	5	2	3	6	2	3	1	5	3	4	5	2	2	4	3	4	1	3	6	5	2	2	3	2	3	4	10	4	4	3	3	3	7	5	3	3	2	3	6	2	4	5	4	2	4	2	2	2	3	3	2	2	12	3	3	3	2	4	2	3	8	3	3	3	3	2	3	3	3	4	2	2	3	3	3	2	9	2	2	4	2	3	3	319		2021-02-23 12:26:00	T	F	88	88	0	0	1.44	28
