Buchtitel	Autor
Borka	John Burningham
Box	Min Flyte, Rosalind Beardshaw
Bravo Pulcinella!	Brigitte Endres, Karsten Teich
Carl und Däd. Wer ist hier müde?	Andreas Brästrup Kirstein, Rasmus Bregnhöi
Chester	Mélanie Watt
Coolman und ich. Ab in den Zoo!	Bertram und Schulmeyer
Coolman und ich. Ab in die Schule!	Bertram und Schulmeyer
Cornell und der Toaster	Robert Scheffner
Cowboy Klaus und sein Schwein Lisa	Eva Muszynski, Karsten Teich
Cowboy Sam. Endlich Cowboy!	Antje Szillat, Ute Simon
Cowboy will nicht reiten	Anke Kuhl
Danke danke gute Nacht	Patrick McDonnell
Darf ich mitspielen?	Katja Reider, Andrea Hebrock
Das Beste-Hexe-Text-Turnier	Monika Maslowska, Sabi Kasper
Das blaue Monster will alles!	Jeanne Willis, Jenni Desmond
Das Buch, das niemand las	Cornelia Funke
Das Chaosmonster	Elisabeth Zöller, Anne-Kathrin Behl
Das Dummgeheuer Bumm	Helme Heine
Das Frühstücksmärchen	Fredrik Vahle, Leonard Erlbruch
Das fünfte Schaf	Harriet Grundmann, Tobias Krejtschi
Das Geschenk	Carol Ann Duffy, Rob Ryan
Das Gespenst von Canterville	Oscar Wilde, Joelle Tourlonias
Das Gold des Hasen	Baltscheit und Schwarz
Das große Rennen um den Pokal	THiLO
Das größte Haus der Welt	Leo Lionni
Das grüne Küken	Adele Sansone, Anke Faust
Das Herz in der Flasche	Oliver Jeffers
Das Kind und die Katze	Ingrid Bachér, Rotraut Susanne Berner
Das kleine Einhorn in der Höhle des Drachen	Maja von Vogel, Dorothea Ackroyd
Das kleine Einhorn und das Zauberschloss	Maja von Vogel, Dorothea Ackroyd
Das kleine Einhorn und der verzauberte Garten	Maja von Vogel, Dorothea Ackroyd
Das kleine Küken sucht seine Mama	Sabine Kraushaar, Anne-Kristin zur Brügge
Das kunterbunte Monsterbuch	Alice Hoogstad
Das Küsschen Krokodil	Jozua Douglas, Loes Riphagen
Das Lachen wohnt im Bauch	Petra Fietzek, Marine Ludin
Das Läusegedicht	Martin Baltscheit, Katharina Sieg
Das Nachttier	Jens Rassmus
Das rote Blatt	Judith Loske
Das Schlaf	Flix
Das Schlittschuhrennen	Kate Westerlund, Eve Tharlet
Das Schneeflöckchen	Werner Lindemann, Sonja Kleemann
Das schwarze Lämmlein	Benjamin Bulgay, Uta Reimann-Höhn
Das Spaghettischwein	Gabriele Kiefer, Karsten Teich
Das Tigerei	Nele Brönner
Das verrückte Affentaxi	Matthias von Bornstädt
Das will ich haben!	Daniela Kulot
Das Wunder von Björn	Jörgpeter Ahlers
Delfingeschichten	Katja Königsberg, Kerstin Völker
Der Bär ist los! Warum Bären nicht in die Schule gehören	Mark Sperring, Britta Teckentrup
Der Bärenberg	Max Bolliger, Józef Wilkon
Der Besuch	Antje Damm
Der Cowboy	Hildegard Müller
Der Dachs hat heute einfach Pech	Moritz Petz, Amélie Jackowski
Der Dingdongdilli	Bill Peet
Der Drache Wut-im-Bauch	Jeanette Randerath, Susanne Dinkel
Der Elefant fühlt allerhand	Alice Hoogstad, Hans Kuyper
Der Elefant und der Schmetterling	E. E. Cummings, Linda Wolfsgruber
Der Fall Lori Plump	Sebastian Meschenmoser
Der falsche Zauberer	Matthias von Bornstädt
Der Gast	Marie Dorléans
