Buchtitel	Autor
Und, beißen sie?	Jean Gourounas
Unser Garten mitten in der Stadt	Parastu Karimi
Unser Vater	Janosch
Unterwegs, mein Schatz!	Willy Puchner
Valentin sucht ein Zuhause	Paloma und Ulises Wensell
Vielleicht warst du ein Flügelschlag	Birgit Unterholzner, Clara Frühwirth
Vier Freunde und ein Geheimnis	Matthias von Bornstädt
Vier kleine Piraten	Erhard Dietl
Vogel und Krokodil	Alexis Deacon
Vögle auf dem Kopf	Sandra Gobet
Vom Jörg, der Zahnweh hatte	Hanna Künzel, Günter Schmitz
Vom Küken, das wissen wollte, wer seine Mama ist	Julia Dürr, Brigitte Endres
Von der Schnecke, die wissen wollte, wer ihr Haus geklaut hat	Barbara Veit, Anna Laura Cantone
Von magischen Klassenzimmern und tollen Schultagen	Der Bücherbär
Von mutigen Prinzessinen, lustigen Zaubersprüchen und magischen Tieren	Arena
Vor den 7 Bergen	Mareike Engelke, Annette Feldmann
Wann ist endlich Donnerstag?	Rose Lagercrantz, Susanne Göhlich
Warum macht Herr Kringel nicht mit?	Ali Mitgutsch
Was macht das Schwein im Schneeanzug?	Regina M. Ehlbeck, Dorothea Ackroyd
Weggepustet	Rob Biddulph
Weisst du was Glück ist?	Marcus Pfister
Welle	Suzy Lee
Wem gibt der Elefant die Hand?	Fredrik Vahle, Jozef Wilkon
Wenn das Giek kommt…	Tasha Pym, Joel Stewart
Wenn die Nacht erwacht	Louise Greig, Ashling Lindsay
Wenn die Nacht erwacht	Louise Greig, Ashling Lindsay
Wenn ein Löwe in die Schule geht	Friedl Hofbauer, Petra Probst
Wenn ich du wäre	Richard Hamilton, Babette Cole
Wenn ich gross bin, werde ich Seehund	Nikolaus Heidelbach
Wenn ich mal groß bin	Emma Dodd
Wenn meine Haare lang wachsen	Hoko Takadono
Wer hat Angst vor Lollo Tollschwoll	Lucille Dubisy, Emma de Woot
Wer ist mein Freund?	Marcus Pfister
Wer schläft denn da?	Martina Baumbach, Verena Körting
Wibo Waschbär räumt auf	Andrea Hebrock, Susanne Lütje
Wie ein Wolf	Géraldine Elschner, Antoine Guilloppé
Wie Großvater schwimmen lernte	Viola Rohner, Dorota Wünsch
Wie sagt man eigentlich Ich liebe dich	Michael Engler, Martina Matos
Wie war das am Anfang	Heinz Janisch, Linda Wolfsgruber
Wie war das?	Olivier Tallec
Wilmas Mäusejagd	Liliane Steiner
Wippen, zappeln, popowackeln - mach mit beim Wi-wa-wackeldackeln!	Regina Schwarz, Barbara Korthues
Wir gehen jetzt auf Faucheljagd	Claire Freedman, Kate Hindley
Wir gehören zusammen! Ein Such-Buch	Britta Teckentrup
Wir haben einen Hut	Jon Klassen
Wir sind doch keine Angsthasen	Jörg Hilbert
Wir wollen doch nur spielen	Berenike Oppermann, Elisabeth Kihßl
Wo bin ich nur?, fragt Kater Murr	Kristina Dunker, Lena Pflüger
Wo die wilden Kerle wohnen	Maurice Sendak
Wo ist der Ball kleiner Bär?	Chris Wormell
Wo ist der kleine Drache?	Joachim Krause
Wo ist Ferdi?	Katja Spitzer
Wo ist mein Hut	Jon Klassen
Wo ist Oma? Zu Besuch im Krankenhaus	Peter Schössow
Wo ist Raffi?	Anke de Vries, Charlotte Dematons
Wo ist Tuffel?	Polly Dunbar
Wo warst du, schwarzes Schaf?	Wolfgang von Polentz, Agnieszka Želewska 
Wolfsbrot	Ulrike Möltgen, Kilian Leypold
Wollen wir Freunde sein?	Bernadette
Wombat hat die Nase vorn	Jackie French, Bruce Whatley
Würstchen, der Dackel	Mikel Casal, Mia Cassany
Yeti Pleki Plek	Eva Susso, Benjamin Chaud
Zauberhafte Hexe Lilli. Drei Abenteuer für Erstleser.	Knister
Zehn kleine Hexenkinder	Uwe-Michael Gutzschhahn, Erhard Dietl
Zehn kleine Schläferlein	Elizabeth Provost, Donald Saaf
Zirkusnacht	Mattias de Leeuw
Zum Elefanten immer geradeaus	Constanze Spengler
Zum Glück gibt's dich, kleine Maus	Tracey Corderoy, Rosalind Beardshaw
Zusammen unter einem Himmel	Britta Teckentrup
Zwei für mich, einer für dich	Jörg Mühle
Zwölf und der Wolf	In-seon Chae, Seung-ha Rew
